state,year,cpi,pop,packpc,income,tax,avgprs,taxs
AL,1985,1.076,3973000,116.48628,46014968,32.5,102.18167,33.34834
AR,1985,1.076,2327000,128.53459,26210736,37,101.475,37
AZ,1985,1.076,3184000,104.52261,43956936,31,108.57875,36.17042
CA,1985,1.076,26444000,100.36304,447102816,26,107.83734,32.104
CO,1985,1.076,3209000,112.96354,49466672,31,94.26666,31
CT,1985,1.076,3201000,109.27835,60063368,42,128.02499,51.48333
DE,1985,1.076,618000,143.85114,9927301,30,102.49166,30
FL,1985,1.076,11352000,122.18112,166919248,37,115.29,42.49
GA,1985,1.076,5963000,127.23462,78364336,28,97.02517,28.84183
IA,1985,1.076,2830000,113.74558,37902896,34,101.842,37.917
ID,1985,1.076,994000,103.01811,11577261,25.1,102.89933,29.05767
IL,1985,1.076,11401000,123.20848,176786352,28.00001,104.44025,28.91526
IN,1985,1.076,5460000,137.63737,71751616,26.5,96.18,31.08
KS,1985,1.076,2428000,116.6804,34784360,32,98.92291,34.88125
KY,1985,1.076,3695000,186.03519,42703144,19,87.00125,23.14292
LA,1985,1.076,4409000,127.55727,53431900,32,108.394,36.169
MA,1985,1.076,5881000,115.6776,98328688,42,112.20834,42
MD,1985,1.076,4414000,120.97871,74851664,29,91.96667,29
ME,1985,1.076,1163000,128.11694,14575292,36,107.0475,41.0975
MI,1985,1.076,9077000,128.00485,133728040,37,104.91417,37.83083
MN,1985,1.076,4185000,112.90323,63152360,34,113.64967,40.433
MO,1985,1.076,5001000,130.37393,69341920,29,99.33817,29.85484
MS,1985,1.076,2588000,117.04018,25678534,27.58333,105.29333,33.54333
MT,1985,1.076,822000,104.2579,9785230,32,99.29166,32
NC,1985,1.076,6255000,155.28377,79104656,18,84.96799,21.268
ND,1985,1.076,677000,105.46529,8672948,34,106.808,38.108
NE,1985,1.076,1585000,107.38171,21778072,34,104.60667,38.02333
NH,1985,1.076,997000,197.99399,15767469,33,95.5,33
NJ,1985,1.076,7566000,116.52128,133549208,41,110.41666,41
NM,1985,1.076,1439000,88.74218,17258916,28,102.778,31.953
NV,1985,1.076,951000,141.95584,14581495,31,114.1885,37.4635
NY,1985,1.076,17794000,116.66292,297728512,37,109.99783,37.88117
OH,1985,1.076,10736000,127.59874,153455776,30,100.42374,34.78208
OK,1985,1.076,3272000,127.13937,43395580,34,101.46808,34.82642
OR,1985,1.076,2673000,119.4538,36205164,35,97.03333,35
PA,1985,1.076,11772000,117.70303,170033840,34,109.07401,40.174
RI,1985,1.076,967000,132.78178,14229156,39,100.94167,39
SC,1985,1.076,3304000,127.20944,38536176,23,90.64125,27.31625
SD,1985,1.076,698000,106.59026,8340000,31,97.08334,31
TN,1985,1.076,4716000,129.83459,57749668,29,101.9455,34.7705
TX,1985,1.076,16275000,115.10293,231003152,35.25,107.38,39.38
UT,1985,1.076,1643000,68.04626,19462380,28,110.19584,34.2375
VA,1985,1.076,5716000,134.0098,87361632,18.5,91.61533,22.02367
VT,1985,1.076,530000,145.28302,6887097,33,100.98334,33
WA,1985,1.076,4401000,96.22813,64846548,39,129.46109,47.46942
WI,1985,1.076,4748000,107.877,65732720,41,114.59,46.45667
WV,1985,1.076,1907000,112.8474,20852964,33,108.91125,38.18625
WY,1985,1.076,500000,129.39999,7116756,24,93.46667,24
AL,1986,1.096,3992000,117.15932,48703940,32.5,107.98917,33.40584
AR,1986,1.096,2332000,127.65866,27363680,37,109.08334,37
AZ,1986,1.096,3309000,103.29404,47848132,31,116.2,36.53333
CA,1986,1.096,27106000,96.36612,477762464,26,110.35484,32.2465
CO,1986,1.096,3238000,109.23409,51062272,31,100.05833,31
CT,1986,1.096,3224000,106.76179,64597832,42,130.62599,51.676
DE,1986,1.096,628000,140.76433,10530821,30,108.81667,30
FL,1986,1.096,11669000,120.61874,179951680,37,121.94,42.80667
GA,1986,1.096,6085000,126.57354,85125968,28,103.21983,28.90317
IA,1986,1.096,2792000,107.77221,39144360,40,114.374,44.399
ID,1986,1.096,990000,98.28283,11850746,25.1,108.264,29.264
IL,1986,1.096,11389000,119.5803,185432176,32.66667,113.91283,33.62951
IN,1986,1.096,5455000,138.88176,75381600,26.5,102.26125,31.36958
KS,1986,1.096,2433000,110.02878,36256488,38,110.93958,41.23125
KY,1986,1.096,3688000,181.80585,44233712,19,92.79375,23.41875
LA,1986,1.096,4407000,123.25845,53005136,32,117.00867,36.50033
MA,1986,1.096,5903000,114.24699,105975744,42,118.15,42
MD,1986,1.096,4488000,119.22905,80611616,29,97.38334,29
ME,1986,1.096,1170000,118.37607,15753707,42,121.44125,47.78292
MI,1986,1.096,9129000,126.13649,142146336,37,110.0315,37.8815
MN,1986,1.096,4206000,104.4698,66784232,39,125.62767,46.111
MO,1986,1.096,5024000,129.10031,72858704,29,106.6775,29.9275
MS,1986,1.096,2594000,114.03238,26694922,34,118.41967,40.703
MT,1986,1.096,814000,99.38575,10143255,32,104.45,32
NC,1986,1.096,6322000,152.7523,84987520,18,92.11125,22.38625
ND,1986,1.096,670000,102.08955,8788163,34,112.06866,38.31033
NE,1986,1.096,1575000,105.20635,22378720,35.66666,112.74467,40.003
NH,1986,1.096,1025000,190.63414,17399088,33,101.16666,33
NJ,1986,1.096,7623000,114.57432,142617056,41,117.475,41
NM,1986,1.096,1463000,87.2864,17882868,28,108.888,32.188
NV,1986,1.096,981000,135.1682,15715826,31,117.57166,37.655
NY,1986,1.096,17836000,113.56246,317914048,37,115.51917,37.93584
OH,1986,1.096,10732000,126.59336,160236048,30,105.51624,35.02458
OK,1986,1.096,3253000,121.30341,43222260,34,111.23983,34.92317
OR,1986,1.096,2684000,112.07153,38003492,41,109.93333,41
PA,1986,1.096,11784000,114.68093,178937904,34,114.3475,40.4725
RI,1986,1.096,975000,135.38461,15233344,39.4,107.69167,39.4
SC,1986,1.096,3343000,126.74245,40974356,23,97.17751,27.6275
SD,1986,1.096,696000,98.85058,8690783,39,111.53333,39
TN,1986,1.096,4739000,129.33109,61580548,29,107.63417,35.0925
TX,1986,1.096,16563000,111.4472,234593728,36.33334,114.946,40.75434
UT,1986,1.096,1663000,64.76247,20367186,28,112.86349,34.3885
VA,1986,1.096,5812000,133.31039,94363768,18.5,96.95399,22.229
VT,1986,1.096,534000,131.46068,7392319,33,114.49533,37.40367
WA,1986,1.096,4453000,93.28542,69114048,41,136.95108,49.95942
WI,1986,1.096,4756000,105.8873,69101072,41,119.70876,46.70042
WV,1986,1.096,1883000,115.24164,21578364,33,114.63375,38.45875
WY,1986,1.096,496000,127.82258,6940614,24,100.65833,24
AL,1987,1.136,4016000,115.83665,51846312,32.5,113.52733,33.46067
AR,1987,1.136,2343000,125.30943,28540168,37,117.025,37
AZ,1987,1.136,3438000,100.34904,52003120,31,119.175,36.675
CA,1987,1.136,27781000,92.46607,517348384,26,118.4815,32.7065
CO,1987,1.136,3261000,102.69855,53527656,36,112.91666,36
CT,1987,1.136,3248000,106.61946,71098736,42,136.92599,52.14267
DE,1987,1.136,637000,137.51962,11422540,30,116.00834,30
FL,1987,1.136,11999000,119.2266,196939232,40,132.78125,46.32292
GA,1987,1.136,6209000,124.7866,92007472,28,107.94158,28.94992
IA,1987,1.136,2767000,107.55331,41224700,42,126.09132,46.84967
ID,1987,1.136,985000,99.28934,12421681,27.325,118.405,32.96333
IL,1987,1.136,11393000,111.93716,196946624,36.00001,128.05684,43.24851
IN,1987,1.136,5474000,136.77385,80257856,26.5,107.67751,31.6275
KS,1987,1.136,2446000,106.25511,38106992,40,124.78267,44.79933
KY,1987,1.136,3684000,175.95006,47080768,19,97.41375,23.63875
LA,1987,1.136,4345000,121.56502,53286764,32,124.08933,36.77267
MA,1987,1.136,5936000,112.09569,115760808,42,126.93333,42
MD,1987,1.136,4566000,115.87822,87731312,29,105.49167,29
ME,1987,1.136,1185000,123.96625,17289266,44,132.03751,50.2875
MI,1987,1.136,9189000,122.36369,148190832,37,118.667,37.967
MN,1987,1.136,4236000,108.49858,71570232,40.25,132.71199,47.762
MO,1987,1.136,5057000,129.68163,77114720,29,113.04892,29.99059
MS,1987,1.136,2589000,112.51448,28248528,34,126.95267,41.186
MT,1987,1.136,805000,95.2795,10462867,32,111.50833,32
NC,1987,1.136,6405000,148.10304,91733648,18,96.5625,20.8125
ND,1987,1.136,661000,97.73071,8968475,34,117.13867,38.50533
NE,1987,1.136,1567000,104.91385,23552768,39,121.64533,43.67867
NH,1987,1.136,1054000,185.19923,19368684,33,108.70834,33
NJ,1987,1.136,7672000,110.7925,155179008,41,125.55,41
NM,1987,1.136,1479000,82.08249,18756172,31,117.85374,36.61208
NV,1987,1.136,1024000,135.74219,17280732,31,127.39433,38.211
NY,1987,1.136,17871000,109.43428,340067904,37,123.20358,38.01192
OH,1987,1.136,10762000,125.45065,168667712,30,108.65749,35.17417
OK,1987,1.136,3211000,118.24976,43220656,34.41666,120.18383,37.91716
OR,1987,1.136,2701000,109.21881,40274160,43,125.09167,43
PA,1987,1.136,11812000,112.48729,190656640,34,118.02217,40.6805
RI,1987,1.136,990000,121.81818,16477743,41,118.16666,41
SC,1987,1.136,3381000,127.15173,44136172,23,102.88251,27.89917
SD,1987,1.136,696000,98.99426,9199160,39,120.11666,39
TN,1987,1.136,4784000,130.81104,66524200,29,117.198,37.68133
TX,1987,1.136,16624000,104.31304,240782432,36.5,123.89,41.265
UT,1987,1.136,1678000,68.53397,21208236,29.83333,117.97626,35.45125
VA,1987,1.136,5933000,129.66458,102817072,18.5,102.934,22.459
VT,1987,1.136,540000,127.77778,8099821,33,124.35799,37.783
WA,1987,1.136,4533000,88.96978,73871752,47,148.088,56.688
WI,1987,1.136,4779000,106.84244,73377744,41,126.58625,47.02792
WV,1987,1.136,1858000,113.83208,22197652,33,124.1975,38.91417
WY,1987,1.136,477000,119.49686,6769883,24,108.65,24
AL,1988,1.183,4024000,115.25845,55698852,32.5,120.03342,33.52509
AR,1988,1.183,2343000,125.52283,30492638,37,129.42799,41.978
AZ,1988,1.183,3536000,99.46267,55836700,31,126.58625,37.02792
CA,1988,1.183,28468000,88.38345,561121088,26,130.009,33.359
CO,1988,1.183,3263000,97.02728,56387208,36,124.63333,36
CT,1988,1.183,3272000,103.85085,78551080,42,147.825,52.95
DE,1988,1.183,648000,135.95679,12506597,30,122.04167,30
FL,1988,1.183,12308000,118.06142,216504528,40,142.72125,46.79625
GA,1988,1.183,6317000,123.68212,100276824,28,117.94901,29.049
IA,1988,1.183,2769000,103.53918,42399264,44.66666,139.76735,50.04233
ID,1988,1.183,986000,88.64098,13353923,34,135.16125,40.43625
IL,1988,1.183,11392000,110.0948,210271984,36.00001,136.86366,43.74701
IN,1988,1.183,5493000,135.86382,85759016,31.5,120.70625,37.24792
KS,1988,1.183,2462000,104.63038,40206912,40,136.5,45.25
KY,1988,1.183,3681000,172.50748,49938632,19,104.8775,23.99417
LA,1988,1.183,4289000,116.81045,56239456,32,131.46466,37.05633
MA,1988,1.183,5981000,109.898,127579568,42,141.51666,42
MD,1988,1.183,4659000,112.66367,96071784,29,115.61666,29
ME,1988,1.183,1204000,123.75415,19035832,44,144.88251,50.89917
MI,1988,1.183,9219000,121.70518,158529136,39,129.21832,40.05167
MN,1988,1.183,4297000,94.04236,75578160,54,156.88,62.88
MO,1988,1.183,5082000,129.71271,81744480,29,118.14942,30.04109
MS,1988,1.183,2581000,113.01821,30176940,34,131.93466,41.468
MT,1988,1.183,800000,90.625,10692508,32,119.79167,32
NC,1988,1.183,6482000,145.57236,100196176,18,105.84966,21.083
ND,1988,1.183,655000,92.36641,8352113,43,138.489,50.839
NE,1988,1.183,1572000,95.54707,25118636,43,137.93866,48.30533
NH,1988,1.183,1083000,176.63896,21390430,33,120.73334,33
NJ,1988,1.183,7713000,108.01244,170763504,43,136.29167,43
NM,1988,1.183,1491000,79.47686,19853934,31,127.65375,37.07875
NV,1988,1.183,1075000,135.53488,19544342,36,147.26935,44.336
NY,1988,1.183,17944000,106.34753,369668224,37,133.312,38.112
OH,1988,1.183,10800000,122.78703,180756992,34,121.23125,39.77292
OK,1988,1.183,3168000,109.34344,45152640,39,134.056,44.156
OR,1988,1.183,2742000,108.05981,44030080,43,139.08334,43
PA,1988,1.183,11847000,108.71107,205200224,34,125.5305,41.1055
RI,1988,1.183,997000,137.01103,18205036,41,128.09167,41
SC,1988,1.183,3413000,126.04746,47922880,23,112.245,28.345
SD,1988,1.183,698000,94.98568,9639202,39,134.24251,45.3925
TN,1988,1.183,4823000,127.24446,71900880,29,126.99001,38.40667
TX,1988,1.183,16669000,97.7923,255401648,40.625,139.78751,48.5375
UT,1988,1.183,1690000,55.73964,22224834,39,136.82375,45.51542
VA,1988,1.183,6038000,127.47599,112022304,18.5,111.67625,23.81792
VT,1988,1.183,550000,128.72728,8904578,33,132.28799,38.088
WA,1988,1.183,4641000,86.46844,80130192,47,157.04033,57.27367
WI,1988,1.183,4823000,102.88203,78125584,45.16666,140.09625,51.83791
WV,1988,1.183,1830000,115.40984,23259046,33,133.82249,39.3725
WY,1988,1.183,465000,123.01075,6961888,24,116.225,24
AL,1989,1.24,4030000,109.20596,60044480,32.5,133.25601,33.656
AR,1989,1.24,2346000,122.80477,32409780,37,140.998,42.423
AZ,1989,1.24,3622000,94.91994,60010740,31,134.69749,37.41417
CA,1989,1.24,29218000,80.51543,606701248,38.5,154.90134,47.268
CO,1989,1.24,3276000,91.30037,60759576,36,141.59167,36
CT,1989,1.24,3283000,100.03046,84702664,45.5,166.716,57.84933
DE,1989,1.24,658000,130.85106,13777657,30,133.33334,30
FL,1989,1.24,12638000,112.60484,240686672,40,154.55685,48.7485
GA,1989,1.24,6411000,117.62595,107725352,28,129.33675,29.16175
IA,1989,1.24,2771000,97.00469,45887504,50,155.45401,55.979
ID,1989,1.24,994000,80.88531,14720691,34,144.99626,40.90458
IL,1989,1.24,11410000,106.97633,224024336,36.00001,143.50633,44.12301
IN,1989,1.24,5524000,134.28674,92629880,31.5,132.17749,37.79417
KS,1989,1.24,2473000,97.93773,42267324,40,147.60201,45.677
KY,1989,1.24,3677000,176.09465,53695508,19,116.2175,24.53417
LA,1989,1.24,4253000,108.84082,59528360,32,143.63268,37.52433
MA,1989,1.24,6016000,102.49335,135095936,42,158.3575,49.54083
MD,1989,1.24,4727000,107.59467,104005032,29,126.79166,29
ME,1989,1.24,1220000,120.90164,20599674,44,159.39876,51.59042
MI,1989,1.24,9253000,117.64832,169112992,41,140.50192,42.14359
MN,1989,1.24,4338000,92.09313,82277040,54,167.70967,63.493
MO,1989,1.24,5096000,125.45132,87050224,29,125.96851,30.1185
MS,1989,1.24,2574000,112.19891,32281126,34,142.0665,42.0415
MT,1989,1.24,800000,88.375,11692829,32,131.98334,32
NC,1989,1.24,6565000,139.0556,108584976,18,116.11534,21.382
ND,1989,1.24,646000,89.31889,9279703,43,147.39301,51.343
NE,1989,1.24,1575000,95.87302,26581180,43,147.35933,48.66767
NH,1989,1.24,1105000,170.49774,22792080,33,129.39999,33
NJ,1989,1.24,7726000,103.48175,182297648,43,145.21667,43
NM,1989,1.24,1504000,76.13032,21182568,31,137.48,37.54667
NV,1989,1.24,1137000,129.72736,22256010,36,162.43617,45.1945
NY,1989,1.24,17983000,100.32253,395022080,39,150.87442,40.26609
OH,1989,1.24,10829000,119.30927,193034656,34,135.65125,40.45958
OK,1989,1.24,3150000,102.63492,48089840,39,146.44067,44.63233
OR,1989,1.24,2791000,105.19527,48059984,43,151.35834,43
PA,1989,1.24,11866000,108.73082,222195136,34,136.90782,41.7495
RI,1989,1.24,1001000,120.07992,19669940,43,138.35834,43
SC,1989,1.24,3457000,124.32745,51276188,23,125.64125,28.98292
SD,1989,1.24,697000,90.53085,10288122,39,140.64267,44.40933
TN,1989,1.24,4854000,127.11166,77104680,29,139.72501,39.35
TX,1989,1.24,16807000,95.07943,274342784,42,150.5995,50.5245
UT,1989,1.24,1706000,57.44431,23842736,39,152.36375,46.25542
VA,1989,1.24,6120000,121.01307,121057680,18.5,126.63,24.53
VT,1989,1.24,558000,120.43011,9769222,33,143.38133,38.51467
WA,1989,1.24,4746000,83.96545,88616008,47.25,170.08543,58.37708
WI,1989,1.24,4857000,100.59708,84013416,46,153.05499,53.28833
WV,1989,1.24,1807000,110.45933,24440400,33,146.30649,41.2815
WY,1989,1.24,458000,119.21397,7509524,24,122.625,24
AL,1990,1.307,4048508,111.74487,64094948,32.5,143.44858,33.75692
AR,1990,1.307,2354343,117.01778,34159184,37,150.06332,42.77167
AZ,1990,1.307,3679056,85.81006,63319164,31,147.8575,38.04083
CA,1990,1.307,29950112,74.20006,655567168,51,187.84967,61.633
CO,1990,1.307,3303862,89.13811,65094512,36,147.2,36
CT,1990,1.307,3289056,90.81633,87935184,56,183.82501,69.61667
DE,1990,1.307,669063,124.35301,14475729,30,138.95,30
FL,1990,1.307,13018365,105.74292,258479056,40,168.25734,49.524
GA,1990,1.307,6506531,112.64067,115414192,28,136.97908,29.23742
IA,1990,1.307,2779769,97.66998,48312552,47,159.10268,53.11934
ID,1990,1.307,1011882,91.31499,16054421,34,150.26375,41.15542
IL,1990,1.307,11446979,95.99912,237593008,46.00001,160.28084,55.07251
IN,1990,1.307,5555097,129.37668,97907440,31.5,140.40251,38.18583
KS,1990,1.307,2480683,95.45758,45103584,40,151.57133,45.82967
KY,1990,1.307,3692584,186.48187,57175332,19,124.38126,24.92292
LA,1990,1.307,4219179,107.43797,64229064,32,150.47067,37.78733
MA,1990,1.307,6018664,97.54656,139772368,42,166.69624,49.93792
MD,1990,1.307,4797431,99.97017,110449944,29,137.39166,29
ME,1990,1.307,1231296,114.91956,21521460,46.25,166.58249,54.1825
MI,1990,1.307,9310462,114.74189,177103456,41,145.67818,42.19483
MN,1990,1.307,4387283,89.46311,87795488,54,179.21066,64.144
MO,1990,1.307,5126370,120.96278,90999728,29,132.26418,30.18084
MS,1990,1.307,2577426,105.37645,33928256,34,150.02533,42.492
MT,1990,1.307,799824,86.89412,12416204,33.5,141.76666,33.5
NC,1990,1.307,6656987,131.60608,115608648,18,126.0205,21.6705
